Domain,Type,Agency,Organization,City,State,Security Contact Email,v,p,sp,pct,adkim,aspf,fo,ruf,rua,rf,ri,
ANDALUSIAAL.GOV,City,Non-Federal Agency,City of Andalusia,Andalusia,AL,itsecurity@cityofandlausia.com,null,,,,,,,,,,,
ANDERSONTX.GOV,City,Non-Federal Agency,Town of Anderson,aNDERSON,TX,townoffice@andersontx.gov,null,,,,,,,,,,,
ANDOVER-NH.GOV,City,Non-Federal Agency,TOWN OF ANDOVER,Andover,NH,(blank),null,,,,,,,,,,,
ANDOVERMA.GOV,City,Non-Federal Agency,Town of Andover,Andover,MA,platform.team@andoverma.us,DMARC1,none,none,100,r,r,1,mailto:dmarc@andoverma.us,mailto:dmarc@andoverma.us,afrf,86400,
ANDOVERMN.GOV,City,Non-Federal Agency,City of Andover,Andover,MN,webmaster@andovermn.gov,DMARC1,none,none,100,r,r,1,mailto:ruf+andovermn.gov@dmarc.barracudanetworks.com,mailto:rua+andovermn.gov@dmarc.barracudanetworks.com,afrf,86400,
ANDREWSNC.GOV,City,Non-Federal Agency,Town of Andrews,Andrews,NC,abuse@andrewsnc.gov,null,,,,,,,,,,,
ANGELFIRENM.GOV,City,Non-Federal Agency,Village of Angel Fire,Angel Fire,NM,(blank),null,,,,,,,,,,,
ANGELSCAMP.GOV,City,Non-Federal Agency,City of Angels ,City of Angels Camp,CA,swong@coneth.com,null,,,,,,,,,,,
ANKENYIOWA.GOV,City,Non-Federal Agency,City of Ankeny,Ankeny,IA,(blank),null,,,,,,,,,,,
ANNAPOLIS.GOV,City,Non-Federal Agency,City of Annapolis,Annapolis,MD,(blank),DMARC1,reject,reject,100,r,r,0,mailto:dmarc-ruf@annapolis.gov,none,afrf,86400,
ANNAPOLISMD.GOV,City,Non-Federal Agency,City of Annapolis,Annapolis,MD,(blank),null,,,,,,,,,,,
ANNATEXAS.GOV,City,Non-Federal Agency,City of Anna,Anna,TX,(blank),null,,,,,,,,,,,
ANNETTATX.GOV,City,Non-Federal Agency,Town of Annetta,Aledo,TX,(blank),null,,,,,,,,,,,
ANNISTONAL.GOV,City,Non-Federal Agency,"""City of Anniston"," Alabama""",Anniston,AL,null,,,,,,,,,,,
ANTIOCHCA.GOV,City,Non-Federal Agency,City of Antioch,Antioch,CA,(blank),DMARC1,none,none,100,r,r,0,none,none,afrf,86400,
ANTIOCHCABOARD.GOV,City,Non-Federal Agency,City of Antioch,Antioch,CA,abarton@ci.antioch.ca.us,null,,,,,,,,,,,
ANTIOCHCACOMMISSION.GOV,City,Non-Federal Agency,City of Antioch,Antioch,CA,abarton@ci.antioch.ca.us,null,,,,,,,,,,,
ANTIOCHCACOMMITTEE.GOV,City,Non-Federal Agency,City of Antioch,Antioch,CA,abarton@ci.antioch.ca.us,null,,,,,,,,,,,
ANTIOCHTOWNSHIPIL.GOV,City,Non-Federal Agency,Antioch Township,Lake Villa,IL,(blank),null,,,,,,,,,,,
ANTRIMNH.GOV,City,Non-Federal Agency,Town of Antrim,Antrim,NH,support@miradorit.com,null,,,,,,,,,,,
APACHEJUNCTIONAZ.GOV,City,Non-Federal Agency,City of Apache Junction,Apache Junction,AZ,dwirthgen@apachejunctionaz.gov,null,,,,,,,,,,,
APEXNC.GOV,City,Non-Federal Agency,"""APEX"," TOWN OF""",Apex,NC,null,,,,,,,,,,,
APOPKA.GOV,City,Non-Federal Agency,City of Apopka,Apopka,FL,it_all@apopka.net,null,,,,,,,,,,,
APPLETONMN.GOV,City,Non-Federal Agency,City of Appleton,Appleton,MN,cityadministrator@appletonmn.org,null,,,,,,,,,,,
APPLETONWI.GOV,City,Non-Federal Agency,City of Appleton,Appleton,WI,justin.marsh@appleton.org,DMARC1,none,none,100,r,r,1,mailto:ruf+appleton.org@dmarc.barracudanetworks.com,mailto:rua+appleton.org@dmarc.barracudanetworks.com,afrf,86400,
APPLEVALLEYCA.GOV,City,Non-Federal Agency,Town of Apple Valley,Apple Valley,CA,webmaster@applevalley.org,DMARC1,none,none,100,r,r,1,mailto:ruf+applevalleyca.gov@dmarc.barracudanetworks.com,mailto:rua+applevalleyca.gov@dmarc.barracudanetworks.com,afrf,86400,
APPLEVALLEYMN.GOV,City,Non-Federal Agency,City of Apple Valley,Apple Valley,MN,nbang@ci.apple-valley.mn.us,DMARC1,quarantine,quarantine,100,r,r,0:1:d:s,mailto:abuse@applevalleymn.gov,none,afrf,86400,
APPLEVALLEYUT.GOV,City,Non-Federal Agency,Town of Apple Valley,Apple Valley,UT,clerk@applevalleyut.gov,null,,,,,,,,,,,
APPOMATTOXVA.GOV,City,Non-Federal Agency,Town of Appomattox,Appomattox,VA,(blank),null,,,,,,,,,,,
APTX.GOV,City,Non-Federal Agency,City of Aransas Pass,Aransas Pass,TX,doffalter@aransaspasstx.gov,DMARC1,none,none,100,r,r,1,mailto:50db2c915cd2.f@dmarcinput.com,mailto:50db2c915cd2.a@dmarcinput.com,afrf,86400,
AQUINNAH-MA.GOV,City,Non-Federal Agency,Town of Aquinnah,Aquinnah,MA,adminassistant@aquinnah-ma.gov,null,,,,,,,,,,,
ARAGOTOWNSHIPMN.GOV,City,Non-Federal Agency,Arago Township,Park Rapids,MN,(blank),null,,,,,,,,,,,
ARANSASPASSTX.GOV,City,Non-Federal Agency,City of Aransas Pass,Aransas Pass,TX,jmartin@aptx.gov,null,,,,,,,,,,,
ARCADAMI.GOV,City,Non-Federal Agency,Arcada Township,Ithaca,MI,kps@shumakergroup.com,null,,,,,,,,,,,
ARCADIA-FL.GOV,City,Non-Federal Agency,City of Arcadia,Arcadia,FL,service@vc3.com,null,,,,,,,,,,,
ARCADIACA.GOV,City,Non-Federal Agency,City of Arcadia,Arcadia,CA,wluo@arcadiaca.gov,null,,,,,,,,,,,
ARCHBALDBOROUGHPA.GOV,City,Non-Federal Agency,Archbald Borough,Archbald,PA,(blank),null,,,,,,,,,,,
ARCHDALE-NC.GOV,City,Non-Federal Agency,City of Archdale,Archdale,NC,_it@archdale-nc.gov,DMARC1,reject,reject,100,r,r,1,mailto:_it@archdale-nc.gov,mailto:_it@archdale-nc.gov,afrf,86400,
ARCHERLODGENC.GOV,City,Non-Federal Agency,Town of Archer Lodge,Archer Lodge,NC,(blank),null,,,,,,,,,,,
ARCOIDAHO.GOV,City,Non-Federal Agency,City of Arco,Arco,ID,help@totalcareit.info,null,,,,,,,,,,,
ARCOLAPDTX.GOV,City,Non-Federal Agency,Arcola Police Department,Rosharon,TX,acarr@arcolatexas.org,null,,,,,,,,,,,
ARCOLATEXAS.GOV,City,Non-Federal Agency,City of Arcola,Arcola,TX,contractor1@arcolatexas.org,null,,,,,,,,,,,
ARDMOREOK.GOV,City,Non-Federal Agency,City of Ardmore,Ardmore,OK,abuse@ardmorecity.org,null,,,,,,,,,,,
ARGENTINETOWNSHIP.GOV,City,Non-Federal Agency,Argentine Township,Linden,MI,tech@tdaniels.com,null,,,,,,,,,,,
ARGONNEWI.GOV,City,Non-Federal Agency,Town Of Argonne,argonne,WI,info@naunkca.com,null,,,,,,,,,,,
ARKADELPHIA.GOV,City,Non-Federal Agency,City of Arkadelphia,Arkadelphia,AR,(blank),DMARC1,quarantine,quarantine,85,r,r,1,"mailto:chuck.fitzsimmons@arkadelphia.gov,mailto:b062e80d@forensics.dmarc-report.com","mailto:chuck.fitzsimmons@arkadelphia.gov,mailto:b062e80d@mxtoolbox.dmarc-report.com",afrf,86400,
ARKANSASCITYKS.GOV,City,Non-Federal Agency,City of Arkansas City,Arkansas City,KS,security@arkansascityks.gov,null,,,,,,,,,,,
ARLINGTON-TX.GOV,City,Non-Federal Agency,"""City of Arlington"," Texas""",Arlington,TX,null,,,,,,,,,,,
ARLINGTONMA.GOV,City,Non-Federal Agency,Town of Arlington,Arlington,MA,security@town.arlington.ma.us,null,,,,,,,,,,,
ARLINGTONMN.GOV,City,Non-Federal Agency,City of Arlington,Arlington,MN,police@arlingtonmn.com,null,,,,,,,,,,,
ARLINGTONNE.GOV,City,Non-Federal Agency,Village of Arlington,Arlington,NE,clerk@arlingtonne.gov,null,,,,,,,,,,,
ARLINGTONTX.GOV,City,Non-Federal Agency,"""City of Arlington"," Texas""",Arlington,TX,DMARC1,none,none,100,r,r,0,none,none,afrf,86400,
ARLINGTONWA.GOV,City,Non-Federal Agency,City of Arlington Washington,Arlington,WA,bterry@arlingtonwa.gov,null,,,,,,,,,,,
ARTESIANM.GOV,City,Non-Federal Agency,City of Artesia,Artesia,NM,jiiams@artesianm.gov,null,,,,,,,,,,,
ARTHUR-IL.GOV,City,Non-Federal Agency,"""Village of Arthur"," IL""",Arthur,IL,null,,,,,,,,,,,
ARVADACO.GOV,City,Non-Federal Agency,City of Arvada,Arvada,CO,it_security_events@arvada.org,null,,,,,,,,,,,
ASHBURNHAM-MA.GOV,City,Non-Federal Agency,Town of Ashburnham,Ashburnham,MA,(blank),null,,,,,,,,,,,
ASHBYMA.GOV,City,Non-Federal Agency,Town of Ashby,Ashby,MA,tabos@ashbyma.gov,null,,,,,,,,,,,
ASHEBORONC.GOV,City,Non-Federal Agency,City of Asheboro,Asheboro,NC,(blank),null,,,,,,,,,,,
ASHEVILLENC.GOV,City,Non-Federal Agency,City of Asheville,Asheville,NC,pscruggs@ashevillenc.gov,null,,,,,,,,,,,
ASHGROVEMO.GOV,City,Non-Federal Agency,City of Ash Grove,Ash Grove,MO,(blank),null,,,,,,,,,,,
ASHLANDCITYTN.GOV,City,Non-Federal Agency,Town of Ashland City,Ashland City,TN,jgreer@ashlandcitytn.gov,DMARC1,none,none,100,r,r,1,mailto:bfd9e54da8c2054@for.dmarcanalyzer.com,mailto:bfd9e54da8c2054@rep.dmarcanalyzer.com,afrf,86400,
ASHLANDKY.GOV,City,Non-Federal Agency,"""The City of Ashland"," KY""",Ashland,KY,DMARC1,reject,reject,100,r,r,1,mailto:ruf+ashlandky.gov@dmarc.barracudanetworks.com,mailto:rua+ashlandky.gov@dmarc.barracudanetworks.com,afrf,86400,
ASHLANDVA.GOV,City,Non-Federal Agency,"""Town of Ashland"," VA""",Ashland,VA,null,,,,,,,,,,,
ASHTONCITYID.GOV,City,Non-Federal Agency,City of Ashton Idaho,Ashton,ID,david@funwinkstudios.com,null,,,,,,,,,,,
ASHTONID.GOV,City,Non-Federal Agency,City of Ashton ID,Ashton,ID,david@funwinkstudios.com,null,,,,,,,,,,,
ASHVILLEOHIO.GOV,City,Non-Federal Agency,Village of Ashville,Ashville,OH,agrube@ashvilleohio.gov,null,,,,,,,,,,,
ASHWAUBENON.GOV,City,Non-Federal Agency,Village of Ashwaubenon,Ashwaubenon,WI,security@ashwaubenon.com,DMARC1,reject,reject,100,r,r,0,none,none,afrf,86400,
ASPEN.GOV,City,Non-Federal Agency,City of Aspen,Aspen,CO,dnsadmins@aspen.gov,DMARC1,reject,reject,100,r,r,0:01,mailto:malware.attachments@cityofaspen.com,mailto:dmarc_agg@vali.email,afrf,86400,
ASSYRIATWPMI.GOV,City,Non-Federal Agency,Assyria Township,Bellevue,MI,InfoAssyriaTwp@gmail.com,null,,,,,,,,,,,
ATCHISONKSPOLICE.GOV,City,Non-Federal Agency,Atchison Police Department,Atchison,KS,michael.wilson@atchisonlec.org,null,,,,,,,,,,,
ATHELSTANEWICLERK.GOV,City,Non-Federal Agency,Town of Athelstane,Athelstane,WI,(blank),null,,,,,,,,,,,
ATHENSIL.GOV,City,Non-Federal Agency,City of Athens,Athens,IL,security@athensil.com,null,,,,,,,,,,,
ATHENSTN.GOV,City,Non-Federal Agency,City of Athens,Athens,TN,technologymanager@cityofathenstn.com,null,,,,,,,,,,,
ATHENSTX.GOV,City,Non-Federal Agency,City of Athens,Athens,TX,webregistrar@athenstx.gov,null,,,,,,,,,,,
ATHENSVILLAGENY.GOV,City,Non-Federal Agency,"""Village of Athens"," NY""",Athens,NY,DMARC1,none,none,100,r,r,0,none,none,afrf,86400,
ATHENSVT.GOV,City,Non-Federal Agency,Town of Athens,Athens,VT,its@athensvt.gov,null,,,,,,,,,,,
ATHOL-MA.GOV,City,Non-Federal Agency,Town of Athol,Athol,MA,acraven@townofathol.org,null,,,,,,,,,,,
ATKINSON-NH.GOV,City,Non-Federal Agency,Town of Atkinson,Atkinson,NH,assttownadmin@atkinson-nh.gov,null,,,,,,,,,,,
ATLANTAGA.GOV,City,Non-Federal Agency,City of Atlanta,Atlanta,GA,tmunyengango@atlantaga.gov,null,,,,,,,,,,,
ATLANTISFL.GOV,City,Non-Federal Agency,City of Atlantis,Atlantis,FL,mlegall@atlantisfl.gov,DMARC1,none,none,100,r,r,1,mailto:ruf+atlantisfl.gov@dmarc.barracudanetworks.com,"mailto:rua+atlantisfl.gov@dmarc.barracudanetworks.com,mailto:dmarc_agg@vali.email",afrf,86400,
ATTICA-IN.GOV,City,Non-Federal Agency,City of Attica,Attica,IN,CLERK@ATTICA-IN.GOV,DMARC1,none,none,100,r,r,1,none,mailto:dmarc@awebco.com,afrf,86400,
ATWATERMN.GOV,City,Non-Federal Agency,City of Atwater,Atwater,MN,atwatercityclerk@willmarnet.com,null,,,,,,,,,,,
AUBREYTX.GOV,City,Non-Federal Agency,City of Aubrey,Aubrey,TX,(blank),null,,,,,,,,,,,
AUBURNMA.GOV,City,Non-Federal Agency,Town of Auburn,Auburn,MA,webmaster@town.auburn.ma.us,null,,,,,,,,,,,
AUBURNMAINE.GOV,City,Non-Federal Agency,"""City of Auburn"," Maine""",Auburn,ME,null,,,,,,,,,,,
AUBURNMI.GOV,City,Non-Federal Agency,City of Auburn,Auburn,MI,kps@shumakergroup.com,null,,,,,,,,,,,
AUBURNNY.GOV,City,Non-Federal Agency,City of Auburn,Auburn,NY,(blank),DMARC1,reject,reject,100,r,r,1,mailto:ruf+auburnny.gov@dmarc.barracudanetworks.com,mailto:rua+auburnny.gov@dmarc.barracudanetworks.com,afrf,86400,
AUBURNWA.GOV,City,Non-Federal Agency,City of Auburn,Auburn,WA,servicedesk@auburnwa.gov,null,,,,,,,,,,,
AUGUSTAGA.GOV,City,Non-Federal Agency,City of Augusta,Augusta,GA,(blank),DMARC1,none,reject,100,r,r,1,none,"mailto:re+hbtff7wdifc@dmarc.postmarkapp.com,dmarc_agg@vali.email",afrf,86400,
AUGUSTAMAINE.GOV,City,Non-Federal Agency,City of Augusta,Augusta,ME,mike.schriver@augustamaine.gov,null,,,,,,,,,,,
AULTCOLORADO.GOV,City,Non-Federal Agency,Town of Ault Colorado,Ault,CO,info@townofault.org,null,,,,,,,,,,,
AURORAMO.GOV,City,Non-Federal Agency,City of Aurora,Aurora,MO,(blank),DMARC1,reject,reject,20,r,r,1,"mailto:support@acismsp.com,mailto:71951d0e@forensics.dmarc-report.com",mailto:71951d0e@mxtoolbox.dmarc-report.com,afrf,86400,
AURORATEXAS.GOV,City,Non-Federal Agency,City of Aurora Texas,Rhome,TX,mayor@auroratexas.gov,null,,,,,,,,,,,
AUSABLETWP-MI.GOV,City,Non-Federal Agency,AuSable Township,AuSable,MI,(blank),null,,,,,,,,,,,
AUSTELLGA.GOV,City,Non-Federal Agency,City of Austell ,Austell,GA,(blank),DMARC1,quarantine,quarantine,100,r,r,0,none,none,afrf,86400,
AUSTIN.GOV,City,Non-Federal Agency,City of Austin,Austin,TX,csirt@austintexas.gov,DMARC1,none,none,100,r,r,0,none,mailto:dmarc_agg@valigov.email,afrf,86400,
